ilan no,Price,City,Town,Neighbourhood,Total Square of Meter,Number of room,Number of bathroom,Age of Structure,Number of floors,Heating,Credi Accepting
244659,97500000.0,İstanbul,Silivri,Kurfallı Mah.,800,10+,8,11-15 Arası,3,Doğalgaz (Kombi),Evet
230886,5037500.0,Trabzon,Araklı,Merkez Mah.,115,3+1,1,5-10 Arası,6,Doğalgaz (Kombi),Evet
229590,8450000.0,İstanbul,Beyoğlu,Sütlüce Mah.,15,220,,,,,Evet
232072,20500000,İstanbul,Şile,Kumbaba Mah.,211,6+1,2,26-30 Arası,3,Doğalgaz (Kombi),Evet
232487,5525000.0,Çanakkale,Gelibolu,Gazisüleymanpaşa Mah.,240,5+1,4,5-10 Arası,1,Merkezi Sistem,Evet
232073,21250000,İstanbul,Üsküdar,Bahçelievler Mah.,137,5+1,3,3,6,Yerden Isıtma,Evet
229662,7850000,Antalya,Alanya,Güller Pınarı Mah.,160,3+1,2,11-15 Arası,5,,
232905,6050000,İzmir,Bayraklı,Yamanlar Mah.,145,3+1,2,1,7,Merkezi Sistem,Evet
223955,9900000,İstanbul,Beşiktaş,Etiler Mah.,110,3+1,1,30+,9,Merkezi Sistem,Hayır
224683,130000000,İstanbul,Çatalca,İnceğiz Mah.,10.000,8+1,4,4,2,Doğalgaz (Kombi),Hayır
239048,13300000,Bursa,Mudanya,,280,4+2,4,11-15 Arası,4,Doğalgaz (Kombi),Evet
242810,43875000.0,İstanbul,Büyükçekmece,Türkoba Mah.,950,9+2,6,,3,,
227870,16250000,İzmir,Karşıyaka,Mavişehir Mah.,166,4+1,2,21-25 Arası,20,Merkezi Sistem,Evet
226650,9129250.0,Balıkesir,Edremit,Tahtakuşlar Mah.,180,4+1,2,16-20 Arası,3,Klima,Evet
232684,9650000,İstanbul,Beyoğlu,Sütlüce Mah.,147,3+1,3,1 Yaşından Küçük,6,Doğalgaz (Kombi),Evet
228708,6800000,İstanbul,Beyoğlu,Tomtom Mah.,50,1+1,1,21-25 Arası,5,Doğalgaz (Kombi),Evet
226762,25550000,Sakarya,Arifiye,Cumhuriyet Mah.,7.568,5+1,2,16-20 Arası,3,Doğalgaz (Kombi),Evet
227984,243750000.0,İstanbul,Sarıyer,Kumköy Mah.,700,7+2,5,2,4,Yerden Isıtma,Evet
229125,13000000,Aydın,Kuşadası,Yaylaköy Mah.,517,7+2,4,1,3,Isı Pompası,
229319,9500000,İstanbul,Kadıköy,Göztepe Mah.,70,2+1,2,4,1,Doğalgaz (Kombi),Evet
223206,13000000.0,İstanbul,Kağıthane,Yahyakemal Mah.,85,2+1,2,Sıfır,7,Merkezi Sistem,Evet
