ilan no,Price,City,Town,Neighbourhood,Total Square of Meter,Number of room,Age of Structure,Floor of house,Number of floors,Heating,Credi Accepting
14963026,"1,320,000",Konya Satılık Daire,Meram Satılık Daire,Gödene Mahallesi Satılık Daire,85 M2,2+1,11-15,4,Çatı Katı,Kombi Doğalgaz,Krediye Uygun
14952593,"3,000,000",Konya Satılık Daire,Selçuklu Satılık Daire,Kılınçarslan Mahallesi Satılık Daire,160 M2,3+1,11-15,10,5.Kat,Kombi Doğalgaz,Krediye Uygun
14952760,"3,900,000",Konya Satılık Daire,Selçuklu Satılık Daire,Selahaddin Eyyubi Mahallesi Satılık Daire,227 M2,4+1,0 (Yeni),3,2.Kat,Kombi Doğalgaz,Bilinmiyor
14952511,"3,250,000",Konya Satılık Daire,Karatay Satılık Daire,Orhangazi Mahallesi Satılık Daire,155 M2,3+1,11-15,6,4.Kat,Yerden Isıtma,Krediye Uygun
14953010,"6,900,000",Konya Satılık Daire,Meram Satılık Daire,Havzan Mahallesi Satılık Daire,228 M2,4+1,11-15,6,5.Kat,Merkezi Doğalgaz,Krediye Uygun
14952378,"2,000,000",Konya Satılık Daire,Karatay Satılık Daire,İstiklal Mahallesi Satılık Daire,100 M2,2+1,1,3,1.Kat,Yerden Isıtma,Krediye Uygun
14954191,"2,100,000",Konya Satılık Daire,Akşehir Satılık Daire,Yarenler Mahallesi Satılık Daire,100 M2,2+1,4,4,1.Kat,Kombi Doğalgaz,Krediye Uygun
14952376,"4,980,000",Konya Satılık Daire,Meram Satılık Daire,Uzunharmanlar Mahallesi Satılık Daire,200 M2,4+1,5-10,8,6.Kat,Merkezi (Pay Ölçer),Krediye Uygun
14955785,"3,650,000",Konya Satılık Daire,Akşehir Satılık Daire,Yarenler Mahallesi Satılık Daire,160 M2,3+1,0 (Yeni),5,4.Kat,Kombi Doğalgaz,Krediye Uygun
14959639,"3,500,000",Konya Satılık Daire,Karatay Satılık Daire,Mengene Mahallesi Satılık Daire,165 M2,3+1,0 (Yeni),6,2.Kat,Yerden Isıtma,Krediye Uygun
14961223,"3,000,000",Konya Satılık Daire,Meram Satılık Daire,Havzan Mahallesi Satılık Daire,155 M2,3+1,21 Ve Üzeri,3,2.Kat,Kombi Doğalgaz,Bilinmiyor
